id,host_id,host_name,host_since,host_response_rate,host_acceptance_rate,host_listings_count,neighbourhood_cleansed,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
7087327,15830506,Lize & Greg,5/21/14,0.92,0.91,26,"Capitol Hill, Lincoln Park",DC,20003,38.89004639,-77.0028081,House,Entire home/apt,4,1,1,2,0,160,1125,5225,100,115,1,0,1,1125,0,0,8,283,0,,,0,0,0,0,0,0,0,0
975833,5338703,Sebastian,3/5/13,0.9,1,1,"Capitol Hill, Lincoln Park",DC,20003,38.88041282,-76.99048487,House,Entire home/apt,6,3,3,3,0,350,0,0,0,100,1,0,2,30,12,38,68,343,65,3/22/13,9/28/15,94,10,9,10,10,9,9,2.11
8249488,1487418,Craig,12/9/11,0.9,1,2,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",MD,20782,38.95529092,-76.98600574,House,Private room,1,2,1,1,0,50,300,700,0,0,1,0,2,1125,0,30,60,60,1,9/10/15,9/10/15,0,0,0,0,0,0,0,1
8409022,16970249,Christopher,6/18/14,1,0,1,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",DC,20024,38.87213388,-77.01963879,House,Private room,2,1,1,1,0,95,0,2650,0,0,1,0,1,1125,30,60,90,365,0,,,0,0,0,0,0,0,0,0
8411173,30369828,Joshua,3/31/15,0.92,0.67,1,"Colonial Village, Shepherd Park, North Portal Estates",MD,20910,38.99638163,-77.04154101,Townhouse,Entire home/apt,4,1,1,1,0,50,400,1500,450,15,2,15,7,1125,16,46,76,351,0,,,0,0,0,0,0,0,0,0
8634774,951119,Todd,8/10/11,1,1,1,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",DC,20024,38.86248633,-77.01506201,Boat,Entire home/apt,4,1,2,4,0,99,0,0,0,0,2,25,1,1125,26,56,86,361,0,,,0,0,0,0,0,0,0,0
8498095,4628,Michelle,11/25/08,1,0,1,"Takoma, Brightwood, Manor Park",DC,20012,38.97473766,-77.02707576,Condominium,Entire home/apt,4,2,2,2,0,100,550,0,150,50,2,40,3,1125,13,13,17,21,0,,,0,0,0,0,0,0,0,0
8513660,3671500,Shahrzad,9/25/12,1,0,1,"Woodridge, Fort Lincoln, Gateway",MD,20712,38.94148563,-76.96848475,Apartment,Entire home/apt,2,1,1,1,0,100,0,0,0,0,1,0,1,1125,30,60,90,365,0,,,0,0,0,0,0,0,0,0
8298145,5159038,Qianwen,2/20/13,0.94,0.99,8,"Capitol View, Marshall Heights, Benning Heights",MD,20743,38.88010496,-76.91903054,House,Private room,2,1.5,1,1,0,38,250,800,0,0,1,10,2,180,25,55,85,360,1,9/15/15,9/15/15,100,10,10,10,10,10,10,1
295345,347309,Eden Park,1/14/11,1,1,9,"Takoma, Brightwood, Manor Park",MD,20912,38.97559245,-77.01071326,Bed & Breakfast,Private room,2,0,1,1,0,71,415,1500,0,10,1,0,2,365,17,47,77,352,4,10/5/14,5/25/15,90,10,9,10,8,10,10,0.33
1745866,9188872,Danielle,10/2/13,1,1,1,"Takoma, Brightwood, Manor Park",MD,20912,38.98006671,-77.0155379,House,Entire home/apt,4,1.5,2,2,0,97,580,2100,250,50,4,25,4,1125,0,0,3,3,5,12/2/13,8/3/14,88,9,9,10,10,9,9,0.22
7678268,21704152,Matt,9/23/14,0.88,1,1,"Colonial Village, Shepherd Park, North Portal Estates",MD,20910,38.99593775,-77.03614117,Apartment,Entire home/apt,1,1,1,1,0,55,299,999,100,0,1,0,3,1125,0,0,0,0,1,9/28/15,9/28/15,100,10,6,10,10,10,10,1
