id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,price
7087327,15830506,0.92,0.91,26,20003,38.89004639,-77.0028081,4,1,1,2,0,100,115,1,0,1,1125,0,0,8,283,0,0,0,0,0,0,0,0,0,160
975833,5338703,0.9,1,1,20003,38.88041282,-76.99048487,6,3,3,3,0,0,100,1,0,2,30,12,38,68,343,65,94,10,9,10,10,9,9,2.11,350
8249488,1487418,0.9,1,2,20782,38.95529092,-76.98600574,1,2,1,1,0,0,0,1,0,2,1125,0,30,60,60,1,0,0,0,0,0,0,0,1,50
8409022,16970249,1,0,1,20024,38.87213388,-77.01963879,2,1,1,1,0,0,0,1,0,1,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,95
8411173,30369828,0.92,0.67,1,20910,38.99638163,-77.04154101,4,1,1,1,0,450,15,2,15,7,1125,16,46,76,351,0,0,0,0,0,0,0,0,0,50
8634774,951119,1,1,1,20024,38.86248633,-77.01506201,4,1,2,4,0,0,0,2,25,1,1125,26,56,86,361,0,0,0,0,0,0,0,0,0,99
8498095,4628,1,0,1,20012,38.97473766,-77.02707576,4,2,2,2,0,150,50,2,40,3,1125,13,13,17,21,0,0,0,0,0,0,0,0,0,100
8513660,3671500,1,0,1,20712,38.94148563,-76.96848475,2,1,1,1,0,0,0,1,0,1,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,100
8298145,5159038,0.94,0.99,8,20743,38.88010496,-76.91903054,2,1.5,1,1,0,0,0,1,10,2,180,25,55,85,360,1,100,10,10,10,10,10,10,1,38
295345,347309,1,1,9,20912,38.97559245,-77.01071326,2,0,1,1,0,0,10,1,0,2,365,17,47,77,352,4,90,10,9,10,8,10,10,0.33,71
1745866,9188872,1,1,1,20912,38.98006671,-77.0155379,4,1.5,2,2,0,250,50,4,25,4,1125,0,0,3,3,5,88,9,9,10,10,9,9,0.22,97
7678268,21704152,0.88,1,1,20910,38.99593775,-77.03614117,1,1,1,1,0,100,0,1,0,3,1125,0,0,0,0,1,100,10,6,10,10,10,10,1,55
8457865,44519208,0,0,1,20910,38.99204996,-77.04652369,2,1,1,1,0,150,20,1,10,2,14,30,60,90,365,0,0,0,0,0,0,0,0,0,50
6757134,3736766,0.68,0.73,7,20910,38.99022645,-77.02981677,2,1,0,1,0,0,125,1,0,7,1125,30,60,90,339,0,0,0,0,0,0,0,0,0,99
295346,347309,1,1,9,20912,38.97553592,-77.00896192,2,0,1,1,0,0,10,1,0,2,1125,26,56,86,361,2,90,10,9,9,8,10,10,0.43,60
8479636,44659281,1,0.83,1,20712,38.94070885,-76.96570499,2,1,1,1,0,0,0,2,15,1,1125,24,54,84,359,1,80,10,8,10,10,10,10,1,52
2310297,11798122,1,1,1,20782,38.96183848,-76.99393298,1,1,1,1,0,0,5,1,10,1,1125,3,28,58,333,1,100,10,10,10,10,10,10,1,23
6556520,34290236,0,1,1,20910,38.99203001,-77.03090637,2,1,1,2,0,100,0,1,0,1,1125,28,58,88,363,0,0,0,0,0,0,0,0,0,200
8519782,4218349,0.83,0.8,1,20712,38.94441967,-76.9680864,4,1,2,2,0,0,0,1,0,1,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,40
8606980,45276150,0,0,3,20912,38.9839417,-77.01972979,2,1,1,1,0,0,0,1,0,1,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,135
8485995,44546458,1,1,1,20712,38.94550838,-76.97051506,2,1,1,1,0,0,0,1,0,1,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,100
8607216,45276150,0,0,3,20912,38.9841984,-77.01999601,2,1,1,1,0,0,0,1,0,1,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,225
8568945,2245859,0,0,1,20912,38.98289926,-77.01764883,7,3,4,3,0,99,99,1,0,14,1125,0,0,30,120,0,0,0,0,0,0,0,0,0,129
333613,966914,1,1,1,20008,38.9287606,-77.04808778,1,1,1,1,550,0,0,1,99,3,31,0,8,8,18,46,100,10,10,10,10,10,10,1.06,149
1026034,2070536,1,1,2,20005,38.90901842,-77.03317774,4,1,1,2,0,100,30,2,20,2,365,16,46,76,351,84,99,10,10,10,10,10,9,2.91,150
2486785,12725500,0.53,0.69,1,20005,38.90683107,-77.02987558,4,1.5,1,1,0,0,25,2,25,1,1125,26,56,86,361,25,91,10,8,9,9,10,9,1.38,175
1822257,9540128,1,1,1,20001,38.91285513,-77.02218393,3,1,2,2,0,0,50,1,0,5,1125,10,40,70,345,4,100,9,10,10,10,9,10,0.18,239
5220279,22207701,0.56,0.83,1,20001,38.90602533,-77.02140581,4,1,1,2,0,0,0,2,0,2,1125,6,33,63,63,2,100,10,10,10,10,10,10,1.15,65
3419118,12772446,0.52,0.84,1,20001,38.90836544,-77.02282043,2,1,1,1,0,0,12,2,25,2,14,10,23,49,319,83,97,10,9,10,10,9,9,5.4,71
805961,4240274,0.97,1,3,20001,38.90823242,-77.02509194,2,1,1,1,0,0,0,1,0,1,1125,9,34,64,123,19,89,9,9,9,9,9,9,7.4,80
3362,2798,1,1,3,20001,38.91046091,-77.01933068,4,2.5,1,3,0,0,0,2,125,1,730,14,35,65,340,94,95,9,9,10,10,8,9,1.15,250
93551,481929,0.9,1,5,20001,38.9123512,-77.0187326,2,1,1,1,0,250,50,1,20,1,365,30,60,90,365,47,92,9,8,10,10,8,9,0.87,138
68962,343320,1,0.93,1,20001,38.91042775,-77.02061907,2,1,1,1,0,0,0,1,25,2,21,6,26,41,308,150,98,10,10,10,10,9,10,2.7,94
3469191,1640384,1,0.5,2,20001,38.90797863,-77.01899723,5,2.5,2,2,0,500,120,4,50,3,1125,0,0,22,297,15,100,10,10,10,10,10,10,1.06,283
6778286,25534764,1,0,1,20005,38.90575583,-77.02955147,3,1,1,3,0,0,0,1,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,127
495042,871824,0.93,0.96,2,20001,38.90851208,-77.02558253,6,1,1,3,0,0,0,1,26,1,365,21,46,76,349,69,91,9,10,10,10,9,9,1.69,79
7220873,32791385,1,1,1,20001,38.91358762,-77.02563638,3,1,1,1,0,0,0,1,0,1,1125,0,0,0,62,1,100,10,10,10,10,10,10,0.48,110
7524042,37920286,1,0.97,3,20001,38.91107388,-77.02320663,6,1,1,6,0,0,0,1,38,1,1125,28,58,88,363,2,0,0,0,0,0,0,0,1.62,38
5990979,8008783,0.92,0.94,30,20009,38.91285095,-77.03385691,9,2.5,3,5,0,0,200,6,5,3,1125,7,29,55,325,5,95,10,10,10,10,10,10,0.99,480
1086168,5750063,0.8,1,1,20005,38.90950939,-77.0326777,6,2,2,3,0,0,80,4,40,3,1125,1,21,51,326,33,96,10,9,10,10,10,9,1.36,372
